Year,Hospitals,Other Institutions,Physicians,Other Professionals: Dental Services,Other Professionals: Vision Care Services,Other Professionals: Other Services,Total Other Professionals,Prescribed Drugs,Non-Prescribed Drugs,Total Drugs,Public Health,Administration,Other Health Spending: Health Research (HR),Other Health Spending: Net of HR,"Total Other 
Health Spending",COVID-19 Response Funding,Sub-Total,Capital,Total
1975,5136.77,796.62,1813.15,56.40,35.86,46.72,138.97,158.56,—,158.56,406.82,271.37,70.32,131.25,201.57,—,8923.83,376.43,9300.26
1976,5977.68,999.08,2041.52,69.81,40.65,53.92,164.38,215.84,—,215.84,510.61,299.90,75.93,165.28,241.21,—,10450.22,366.97,10817.19
1977,6372.73,1175.16,2252.12,83.70,44.86,60.54,189.10,266.56,—,266.56,598.51,318.15,93.08,193.73,286.80,—,11459.12,385.44,11844.56
1978,6861.92,1367.51,2528.34,103.96,51.91,75.52,231.39,327.94,—,327.94,615.40,320.57,107.24,225.38,332.62,—,12585.69,454.82,13040.51
1979,7487.62,1581.37,2804.48,143.83,57.99,88.88,290.70,386.41,—,386.41,706.99,351.71,123.41,271.77,395.18,—,14004.45,547.82,14552.28
1980,8585.16,1821.48,3235.98,194.94,67.23,104.90,367.07,465.01,—,465.01,845.37,395.20,139.52,351.77,491.29,—,16206.55,635.29,16841.85
1981,10127.35,2146.66,3775.12,278.44,78.74,126.67,483.86,566.86,—,566.86,1006.11,445.02,164.74,494.97,659.70,—,19210.68,731.91,19942.59
1982,12001.93,2531.36,4353.14,270.04,91.13,143.01,504.18,683.59,—,683.59,1149.70,546.61,184.22,586.42,770.64,—,22541.15,905.70,23446.84
1983,13174.55,2794.37,4973.30,260.66,105.68,163.99,530.33,817.37,—,817.37,1241.42,590.93,215.15,677.37,892.51,—,25014.77,1065.24,26080.01
1984,13936.30,2923.26,5444.58,266.74,117.66,181.02,565.43,942.85,—,942.85,1376.49,647.34,245.66,735.10,980.76,—,26817.00,1139.87,27956.88
1985,14737.75,3066.46,5962.06,275.52,130.42,214.58,620.52,1118.71,—,1118.71,1515.72,696.81,278.98,861.62,1140.60,—,28858.63,1236.88,30095.51
1986,15937.05,2982.43,6597.89,287.16,146.05,260.66,693.87,1319.21,—,1319.21,1570.16,734.18,334.01,1009.08,1343.09,—,31177.88,1351.54,32529.43
1987,17154.21,3132.08,7266.23,286.27,157.30,276.36,719.93,1492.70,—,1492.70,1660.98,779.65,316.88,1141.98,1458.87,—,33664.64,1391.06,35055.70
